SaleUnits,TargetUnits,AchSale ,LMSU,LMSV
480,148.4175,323,455,71548.75
52,166.7862,31,68,27418.28
2943,1938.816,152,2911,288829.42
6605,6022.9504,110,7204,934286.76
124,111.888,111,106,22502.74
138.5,132.867,104,180,48119.4
322,177.431,181,197.25,24814.05
87.25,86.4531,101,212.25,35878.74
156,88.731,176,234,36796.5
32.5,73.8234,44,67,27015.07
3041.75,1521.9706,200,2557.75,253779.97
7461.25,6964.0364,107,8848.75,1147594.39
488,310.8,157,331,70267.99
382.5,150.3495,254,193,51594.69
181,128.4885,141,147.25,18524.05
243.25,72.0443,338,134.25,22693.62
277,215.2919,129,363,57081.75
175.5,139.4442,126,240,96770.4
2988.75,1696.464,176,2601.75,258145.65
6876.25,6324.0979,109,7703.75,999099.34
117,198.912,59,209,44368.61
131,90.909,144,99,26465.67
522,125.4076,416,309,38872.2
136,50.7741,268,220,37188.8
384,174.4448,220,613,96394.25
17,46.4814,37,3,1209.63
2306,1163.2896,198,2525,250530.5
4906,4328.9956,113,5063,656620.47
137,105.672,130,123,26111.67
48.5,41.958,116,12,3207.96
426,147.4402,289,166.25,20914.25
409.25,308.7612,133,464.25,78476.82
336,181.3871,185,408,64158
82.5,79.2918,104,61,24595.81
3270.75,1647.9936,198,2898.75,287613.99
7593.25,7453.4011,102,10172.75,1319303.95
177,99.456,178,109,23139.61
174.5,45.4545,384,90,24059.7
170,58.8218,289,156.25,19656.25
195.25,78.9056,247,95.25,16101.06
193,70.2676,275,143,22486.75
13.5,41.013,33,29,11693.09
2943.75,1725.5462,171,3777.75,374828.37
6695.25,6549.9586,102,6387.75,828427.3
94,87.36,108,35,7430.15
27,25.308,107,15,4009.95
92,78.0238,118,21,2641.8
1,38.0358,3,2,338.08
35,31.7408,110,23,3616.75
17.5,38.2788,46,56.5,22781.37
1539.5,1046.0736,147,973,96541.06
5867.5,5456.4832,108,4218,547032.44
48,154.56,31,49,10402.21
104,98.0685,106,51,13633.83
40,40.7081,98,40,5032
15,76.0716,20,14,2366.56
53,210.2828,25,49,7705.25
13,49.2156,26,41,16531.61
3402,2333.5488,146,3235,320976.7
10502,10484.2427,100,13417,1740050.73
82,134.4,61,10,2122.9
50,72.7605,69,85,22723.05
75,61.0621,123,49,6164.2
226,50.7144,446,118,19946.72
113,63.4816,178,102.5,16118.14
40.5,27.342,148,7.5,3024.08
2370.5,1528.8768,155,2660,263925.2
10800.5,8574.4736,126,11684,1515297.95
90,80.64,112,105,22290.45
65,60.1065,108,70,18713.1
182,71.2391,255,75,9435
4,25.3572,16,7,1183.28
37,31.7408,117,15,2358.75
21.5,62.8866,34,46.5,18749.27
1632.5,1207.008,135,1489,147738.58
6256.5,5846.232,107,5902,765430.4
70,127.68,55,102,21653.58
15,31.635,47,60,16039.8
61,40.7081,150,47,5912.6
22,27.8929,79,21,3549.84
9,27.7732,32,83,13051.75
1,13.671,7,4,1612.84
707,482.8032,146,641,63600.02
3104,2767.2165,112,3051,395684.19
141,87.36,161,32,6793.28
57,28.4715,200,20,5346.6
63,47.4928,133,55,6919
9,35.5001,25,11,1859.44
13,31.7408,41,27.5,4324.39
54.5,82.026,66,91.5,36893.72
1687.5,1448.4096,117,1392,138114.24
4802.5,5846.232,82,3915,507736.34
739,570.696,129,556,118033.24
276,198.0518,139,123,32881.59
491,383.5626,128,474,59629.2
33,46.3589,71,103,17411.12
395,349.4897,113,465,73121.25
31,139.7046,22,52,20966.92
5878,2676.3264,220,5587,554342.14
9040,8084.7458,112,11386,1476650.34
80.5,187.824,43,55,11675.95
36,96.1038,37,8.5,2272.3
87,137.3978,63,80,10064
78,64.5714,121,70,11832.8
87,79.3329,110,122,19184.5
5,56.8453,9,27,10886.67
3867,3010.8672,128,3591,356299.02
10900.5,9994.878,109,11922.5,1546229.03
303.5,371.3136,82,458,97228.82
73.5,191.5583,38,241,64426.53
591.5,518.4643,114,505,63529
301,217.9973,138,312,52740.48
632,531.4816,119,924,145299.11
28,95.3845,29,34.5,13910.71
2085,1853.9136,112,1999.5,198390.39
6299,5819.2401,108,7447,965801.47
35.5,104.0256,34,29,6156.41
15,48.0519,31,26.5,7084.24
83,73.8231,112,116,14592.8
24,107.6189,22,61,10311.44
21,113.076,19,58,9120.5
4,77.0784,5,9,3628.89
3561,2397.5424,149,3675,364633.5
9416.5,8484.5409,111,10652.5,1381522.73
4,128.5872,3,12,2547.48
20,71.4285,28,27,7217.91
110,66.6161,165,102,12831.6
13,24.2832,54,24,4056.96
193,190.4539,101,243,38211.75
105,35.6488,295,46,18547.66
3466,2188.4544,158,3443,341614.46
6918,6485.5653,107,8023,1040502.87
27.5,82.3536,33,16,3396.64
11.5,44.1558,26,2,534.66
322.5,306.6981,105,356,44784.8
131,91.0622,144,158,26708.32
329,294.8659,112,437,68718.36
79,77.0784,102,46.5,18749.23
2871,1812.096,158,2538.5,251869.97
6029,5552.71,109,6475,839742.79
385,617.6478,62,161,34178.69
288,345.546,83,298,79664.34
351,235.4352,149,216,27172.8
88,93.8164,94,112,18932.48
638,345.059,185,486,76423.5
78,76.6579,102,136,54836.56
2678,1807.872,148,2434,241501.48
6552,5909.3496,111,5821,754925.49
458,332.2704,138,589,125038.81
375,243.162,154,232,62020.56
64,103.2293,62,44,5535.2
36,156.1507,23,110,18594.4
121,108.68,111,92,14467
180,126.4132,142,147.5,59473.47
3344.5,2703.36,124,2879.5,285703.99
8204.5,8134.9488,101,8981,1164745.9
220,194.271,113,57,12100.53
139,110.916,125,13,3475.29
29,49.8036,58,16,2012.8
32,25.5004,125,1,169.04
60,42.3852,142,11,1729.75
24,32.1095,75,15,6048.15
3272,2559.744,128,3515,348758.3
5476,4962.8304,110,4531,587625.39
277,195.6108,142,36,7642.44
191,153.576,124,107,28604.31
69,64.2919,107,73,9183.4
16,39.3525,41,9,1521.36
44,47.2758,93,12,1887
42,54.0944,78,29.5,11894.69
1553.5,1377.024,113,1364.5,135385.69
6996.5,6574.4712,106,6551,849599.2
598.5,750.0262,80,353.5,75044.51
307,512.2656,60,456,121902.47
381,344.715,111,378,47552.4
194,76.1864,255,161,27215.44
313,336.8092,93,240,37740.01
191.5,199.1343,96,188,75803.47
2279.5,1329.152,172,1998,198241.56
6053.5,5345.6568,113,6212,805634.26
390.5,523.8002,75,576.5,122385.18
79,343.6884,23,-45,-12029.86
144,113.0665,127,115,14467
83,73.1082,114,102,17242.08
316,98.8988,320,212,33337.01
81.5,90.174,90,56,22579.75
1446.5,1678.336,86,2677,265611.94
6607.5,6040.3992,109,7776,1008469.42
113,226.226,50,171,36301.59
128,237.8376,54,197,52664.01
60,108.4703,55,56,7044.8
114,65.7974,173,80,13523.2
108,76.076,142,55,8648.75
69,46.9656,147,74,29837.54
1798,1317.888,136,1746,173238.12
4986,4670.2128,107,4027,522261.63
113,240.1476,47,181,38424.49
181,213.0084,85,169,45178.77
467,352.9882,132,281,35349.8
91,169.688,54,139,23496.56
254,179.816,141,136,21386
14,39.4511,35,38,15321.98
1490,1306.624,114,1481,146944.82
4009,3242.1312,124,2344,303993.36
719.66,621.6,116,793,168345.97
476,302.535,157,274,73248.42
34.93,65.772,53,83.5,10504.3
36.64,143.55,26,201.02,33980.42
213.51,384.475,56,563.07,88542.78
53.66,151.62,35,93,37498.53
3680.24,2895.36,127,4316.91,428323.84
9656.45,8682.24,111,11755.37,1524553.98
169.66,318.2,53,509,108055.61
28,136.323,21,248,66297.84
317.93,196.56,162,227.5,28619.5
159.64,212.85,75,223.02,37699.3
274.51,257.725,107,367.07,57721.78
112.66,181.44,62,171,68948.91
2935.24,2533.44,116,2768.91,274731.28
9414.45,8539.44,110,10171.37,1319125.02
297.68,266.4,112,270,57318.3
217,180.792,120,203,54267.99
105.14,85.428,123,86,10818.8
48.72,64.35,76,21.96,3712.12
92.98,114.075,82,146.86,23093.74
17.68,53.34,33,24,9677.04
2930.52,2737.6,107,3033.18,300952.13
9226.1,7939.68,116,9139.26,1185270.63
228,273.8,83,260,55195.4
60,109.35,55,100,26733
17,30.24,56,13,1635.4
78,74.25,105,55,9297.2
78,88.725,88,149,23430.25
10,33.6,30,2,806.42
1917,1113.6,172,1202,119262.44
2055,3398.64,60,2613,338879.97
5,11.6642,43,-4,-2044.24
20,8.7444,229,5,2201.5
27,40.2615,67,12,3962.76
5,14.7943,34,9,1238.31
30,54.3539,55,6,1250.16
43,25.3185,170,9,2441.34
3,77.2149,4,6,2170.08
26,9.2351,282,-2,-432.44
9,23.1172,39,5,1631.45
0,0.2141,0,0,0
1,4.3403,23,-5,-1690.45
15,28.1168,53,3,1143.99
27,42.0004,64,16,6101.28
-1,17.7522,-6,-3,-660.45
178,101.7899,175,140,40177.2
11,17.8439,62,7,2091.46
2,4.5215,44,2,660.46
0,15.623,0,0,0
27,24.5471,110,13,2095.34
22,27.2738,81,13,1788.67
51,38.3229,133,24,4906.32
6,6.1857,97,0,0
13,11.6376,112,3,424.59
-1,6.9244,-14,-5,-1375.95
-1,4.5637,-22,-4,-1572.52
-1,3.3915,-29,-6,-1651.14
0,13.0124,0,-3,-943.5
18,16.2002,111,26,13287.56
3,13.6631,22,-2,-880.6
44,67.1025,66,63,20804.49
6,14.7943,41,5,687.95
13,54.3539,24,8,1666.88
12,28.9354,41,49,13291.74
35,85.3428,41,65,23509.2
1,7.388,14,-1,-216.22
17,26.6736,64,12,3915.48
0,0.2206,0,0,0
-3,4.3403,-69,19,6423.71
85,26.7779,317,110,41946.3
104,54.0006,193,38,14490.54
4,22.0419,18,38,8365.7
41,50.8949,81,16,4591.68
-3,10.6611,-28,-7,-2091.46
4,4.5215,88,105,34674.15
6,7.8115,77,15,6486.6
-4,13.2796,-30,40,6447.2
64,30.2796,211,134,18437.06
20,38.5644,52,50,10221.5
4,9.3404,43,4,1100.76
0,15.2181,0,2,283.06
0,3.4622,0,1,275.19
0,1.7121,0,1,393.13
1,1.6544,60,0,0
1,5.7245,17,-2,-629
0,4.5361,0,0,0
0,4.9187,0,2,880.6
7,26.841,26,11,3632.53
0,7.3971,0,0,0
8,27.1769,29,-21,-4375.56
0,18.0846,0,0,0
0,40.6394,0,2,723.36
0,1.847,0,0,0
0,9.484,0,2,652.58
0,0.2141,0,0,0
0,4.085,0,0,0
5,12.05,41,4,1525.32
5,24.0003,21,6,2287.98
0,1.9757,0,0,0
0,16.965,0,-9,-2582.82
0,2.5225,0,-8,-2390.24
0,1.0048,0,0,0
0,2.6038,0,0,0
0,2.4145,0,0,0
0,2.4418,0,-3,-412.77
0,23.7505,0,2,408.86
0,5.7746,0,0,0
0,10.9532,0,0,0
0,1.1541,0,0,0
0,0.7237,0,-1,-393.13
0,3.2261,0,-20,-5503.8
10,6.1197,163,-2,-629
40,81.2603,49,21,10732.26
36,90.1762,40,25,11007.5
232,262.4667,88,331,109306.13
31,20.8045,149,22,3026.98
129,118.8991,108,252,52506.72
48,45.5733,105,46,12477.96
301,207.7126,145,477,172521.36
6,12.0056,50,11,2378.42
16,40.8996,39,14,4568.06
0,2.1346,0,12,5345.04
8,15.3189,52,15,5071.35
47,47.4192,99,6,2287.98
125,150.9563,83,273,104103.09
16,15.583,103,5,1100.75
217,127.2374,171,208,59691.84
7,8.7607,80,-12,-3585.36
37,28.4889,130,56,18492.88
117,64.6832,181,102,44108.88
14,31.8226,44,1,161.18
31,38.4592,81,13,1788.67
46,105.9991,43,55,11243.65
5,14.5493,34,5,1375.95
2,30.2471,7,3,424.59
3,15.5043,19,-27,-7430.13
2,4.7942,42,-61,-23980.93
77,106.9198,72,51,14034.69
187,153.4772,122,114,35853
8,27.0868,30,1,511.06
23,60.1174,38,53,23335.9
88,141.8739,62,160,52836.8
-1,12.4827,-8,0,0
74,50.9567,145,99,20627.64
0,8.6806,0,0,0
3,62.3138,5,19,6871.92
26,18.0084,144,41,8865.02
71,68.166,104,139,45354.31
0,0.4542,0,0,0
0,7.6594,0,0,0
60,37.9353,158,34,12965.22
59,100.6375,59,55,20973.15
17,15.583,109,15,3302.25
18,47.714,38,43,12340.14
7,8.7607,80,8,2390.24
13,14.2444,91,4,1320.92
7,28.7481,24,25,10811
15,31.8226,47,22,3545.96
41,30.7674,133,24,3302.16
362,105.9991,342,58,11856.94
0,12.1244,0,1,275.19
8,20.1647,40,11,1556.83
17,21.706,78,5,1375.95
11,9.5885,115,1,393.13
80,62.7573,127,70,19263.3
65,61.3909,106,105,33022.5
42,44.3238,95,42,21464.52
37,54.6522,68,79,34783.7
157,127.6865,123,121,39957.83
38,20.8045,183,17,2339.03
127,67.9423,187,169,35212.84
27,16.2762,166,6,1627.56
99,77.8922,127,71,25679.28
16,10.2047,157,8,1729.76
65,54.5328,119,54,17619.66
0,0.9083,0,0,0
0,11.4892,0,0,0
71,37.9353,187,14,5338.62
115,100.6375,114,78,29743.74
2,21.8163,9,17,3742.55
21,63.6187,33,40,11479.2
6,7.3006,82,-4,-1195.12
35,17.8055,197,26,8585.98
52,35.9351,145,87,37622.28
36,35.6413,101,57,9187.26
117,61.5348,190,73,10044.07
24,105.9991,23,92,18807.56
1,9.6995,10,3,825.57
0,25.2059,0,0,0
0,10.5429,0,0,0
0,4.0751,0,0,0
2,25.5678,8,7,1926.33
-1,36.8345,-3,2,629
25,93.5724,27,70,35774.2
22,68.3153,32,123,54156.9
164,177.3424,92,222,73311.06
22,29.1263,76,0,0
45,101.9135,44,105,21877.8
14,37.9778,37,13,3526.38
27,171.3629,16,51,18445.68
8,19.8092,40,23,4973.06
47,109.0656,43,52,16967.08
0,1.0446,0,0,0
22,42.1269,52,36,12171.24
251,66.3868,378,116,44234.28
155,150.9563,103,214,81604.62
5,9.3498,53,11,2421.65
35,79.5233,44,84,24106.32
0,4.3804,0,0,0
0,10.6833,0,2,660.46
0,14.374,0,0,0
29,28.0039,104,31,4996.58
28,23.0755,121,2,275.18
136,105.9991,128,108,22078.44
19,12.1244,157,18,4953.42
5,25.2059,20,4,566.12
11,14.264,77,19,5228.61
11,5.5134,200,0,0
18,37.1895,48,1,275.19
44,55.2518,80,59,18555.5
106,49.5727,214,93,47528.58
117,40.5793,288,13,5723.9
481,120.5928,399,120.25,39710.16
125.5,32.5475,386,125.5,17267.55
292.25,123.8249,236,236.25,49225.05
80.75,45.5733,177,133.5,36213.21
373.75,112.8873,331,440.5,159320.04
76,13.16,578,20.25,4378.45
375.75,82.1548,457,93.75,30589.69
0,0.4974,0,0,0
0.5,79.7858,1,0,0
151,87.4744,173,37,14109.21
53.5,165.5258,32,141.75,54053.53
0.25,38.2379,1,120.25,26473.04
5,47.5019,11,-2,-573.96
-2.75,2.2632,-122,-2,-597.56
70.75,21.6228,327,59,19483.57
210,65.5829,320,356,153948.64
154.75,40.3208,384,126.75,20429.56
125.5,44.805,280,67.75,9321.72
116.25,95.7769,121,135,27598.05
3,9.7577,31,2,550.38
0,23.2363,0,2,283.06
0,67.5988,0,0,0
0,24.3405,0,0,0
25,4.4547,561,-2,-550.38
0,52.4828,0,3,943.5
0,11.0161,0,-5,-2555.3
3,19.6748,15,0,0
10,42.3704,24,6.25,2063.94
12.5,29.5886,42,13.5,1857.47
15.25,91.7221,17,30.25,6302.89
9.75,27.6695,35,7.5,2034.45
41.75,81.2788,51,82.5,29838.6
3,5.264,57,3.25,702.71
40.75,42.3222,96,31.75,10359.71
0,0.4325,0,0,0
1.5,63.8286,2,0,0
4,59.3577,7,-1,-381.33
11.5,110.3506,10,2.75,1048.66
-0.75,11.4714,-7,2.25,495.34
-1,29.6887,-3,0,0
-7.75,1.0951,-708,-2,-597.56
7.75,21.6228,36,24,7925.52
10,28.1069,36,14,6054.16
22.75,32.2566,71,13.75,2216.22
8.5,32.2596,26,2.75,378.37
1.25,92.2296,1,15,3066.45
0,12.685,0,0,0
0,18.2571,0,0,0
0,54.0791,0,-1,-275.19
0,20.446,0,-1,-393.13
-5,5.5684,-90,0,0
-2,87.4713,-2,0,0
8,16.5242,48,4,2044.24
6,23.3638,26,0,0
7,65.1853,11,14.25,4705.78
25.5,26.6297,96,37.5,5159.63
78.25,91.7221,85,105.25,21929.89
20.75,30.9247,67,24.5,6645.87
115.75,94.8253,122,124.5,45029.16
15,10.528,142,0.25,54.05
23.75,34.8536,68,29.75,9707.13
0,0.4325,0,0,0
0.5,57.4458,1,-1,-338.09
23,62.4817,37,32,12202.56
28.5,99.3155,29,49.75,18971.17
6.25,10.5154,59,22.25,4898.34
5,11.8755,42,-8,-2295.84
-1.75,1.0951,-160,-14,-4182.92
14.75,7.2076,205,3,990.69
8,28.1069,28,27,11675.88
34.75,24.1925,144,54.75,8824.6
19.5,26.883,73,15.75,2167.04
17.25,49.6621,35,43,8790.49
7,10.7334,65,29,7980.51
7,12.448,56,2,283.06
0,40.5593,0,-1,-275.19
0,15.5779,0,-1,-393.13
-1,3.1183,-32,-8,-2201.52
1,34.9885,3,4,1258
39,16.5242,236,97,49572.82
1,24.5935,4,51,22455.3
55,48.889,112,132,43590.36
25,29.5886,84,36,4953.24
57,68.7916,83,115,23961.4
32,35.8076,89,74,20073.24
70,90.3098,78,88,31827.84
7,8.3346,84,7,1513.54
27,47.3013,57,87,28387.23
0,0.3677,0,0,0
3,54.2544,6,3,1014.27
7,53.1095,13,11,4194.63
29,82.7629,35,32,12202.56
-2,23.8987,-8,-1,-220.15
45,29.6887,152,82,23532.36
1,1.7521,57,-5,-1493.9
6,7.2076,83,4,1320.92
7,28.1069,25,7,3027.08
4,32.2566,12,9,1450.62
9,32.2596,28,-7,-963.13
16,53.2094,30,18,3679.74
0,8.294,0,0,0
0,12.448,0,4,566.12
0,54.0791,0,4,1100.76
0,15.5779,0,0,0
0,3.5638,0,0,0
2,43.7356,5,0,0
5,16.5242,30,0,0
4,14.7561,27,2,880.6
8,48.889,16,4.25,1403.48
19.5,29.5886,66,21.5,2958.19
66.25,82.5499,80,32.25,6719.61
11.75,22.7867,52,12.5,3390.75
59.75,72.2479,83,47.5,17179.8
24,6.58,365,15.25,3297.35
51.75,42.3222,122,47.75,15580.35
0,0.4325,0,0,0
5.5,63.8286,9,-3,-1014.27
10,49.9854,20,14,5338.62
9.5,93.798,10,14.75,5624.62
4.25,11.4714,37,11.25,2476.69
7,29.6887,24,4,1147.92
3.25,1.0951,297,2,597.56
9.75,14.4152,68,13,4292.99
23,37.4759,61,27,11675.88
59.75,32.2566,185,34.75,5601
68.5,43.0128,159,50.75,6982.69
16.25,63.8513,25,27,5519.61
3,7.3183,41,5,1375.95
3,16.5974,18,0,0
-13,54.0791,-24,0,0
-3,21.4196,-14,-1,-393.13
-9,5.5684,-162,0,0
5,72.8927,7,8,2516
4,13.4786,30,8,4088.48
1,19.1283,5,-1,-440.3
46.34,72.4707,64,45,14860.35
42,46.5281,90,58,7980.22
151.4,171.2146,88,152.42,31758.23
29,42.3181,69,30,8137.8
45,119.209,38,58.68,21223.38
1,5.264,19,6,1297.32
31,27.7406,112,24,7830.96
0,0.3893,0,0,0
101.68,41.8716,243,107,36175.63
2.68,25.439,11,53,20210.49
22.68,65.9375,34,75.68,28859.05
49,105.6625,46,86,18932.9
294.04,223.5136,132,265,76049.7
5,5.3659,93,-11.34,-3388.17
1,0.8921,112,5,1651.15
20,2.3542,850,8,3459.52
38.04,14.4007,264,3.68,593.14
52.68,12.5375,420,6.04,831.04
350,52.3519,669,0,0
276,50.4168,547,2,550.38
0,16.6015,0,0,0
-2,8.1236,-25,-2,-550.38
-2,5.9737,-33,-3,-1179.39
-2,9.6373,-21,13,3577.47
137,152.8818,90,153,48118.5
8,10.9513,73,-1,-511.06
19,21.8609,87,2,880.6
65.33,61.7343,106,38,12548.74
33,34.4245,96,60,8255.4
27.3,52.3156,52,38.29,7978.11
11,11.3933,97,9,2441.34
31,72.2479,43,35.66,12897.51
5,9.6506,52,-1,-216.22
39,42.6778,91,89,29039.81
5,1.5571,321,0,0
4.66,8.1701,57,2,676.18
2.66,24.1001,11,9,3431.97
36.66,62.9403,58,45.66,17411.53
-5,11.7403,-43,52,11447.8
48.98,32.4455,151,46,13201.08
0,1.5331,0,-10.33,-3086.4
10,5.3524,187,20,6604.6
2,17.6566,11,5,2162.2
4.98,17.2808,29,7.66,1234.64
44.66,48.7568,92,39.98,5500.85
39,79.9056,49,16,3270.88
2,9.2602,22,12,3302.28
0,16.6015,0,10,1415.3
-2,5.8026,-34,-7,-1926.33
-1,3.2584,-31,-5,-1965.65
-3,6.1328,-49,-2,-550.38
5,46.9069,11,21,6604.5
5,11.7938,42,1,511.06
10,30.0587,33,9,3962.7
21,32.2092,65,13,4292.99
21,22.0065,95,15,2063.85
48,156.9468,31,343,71467.48
5,86.2638,6,208,56422.08
10,54.1859,18,13,4701.84
4,8.3346,48,3,648.66
19,25.6067,74,14,4568.06
0,1.2976,0,0,0
-1,20.4252,-5,-12,-4057.08
2,13.3889,15,2,762.66
518,32.9688,1571,-1,-381.33
4,7.8269,51,8,1761.2
30,12.6177,238,-4,-1147.92
-12,0.3833,-3131,-6,-1792.68
4,0.8921,448,0,0
3,5.8855,51,6,2594.64
72,72.0033,100,69,11121.42
16,6.2687,255,5,687.95
36,38.5751,93,20,4088.6
3,7.2024,42,2,550.38
2,14.6484,14,1,141.53
3,16.2472,18,-4,-1100.76
-2,3.2584,-61,-6,-2358.78
0,12.2656,0,-6,-1651.14
18,41.695,43,9,2830.5
4,26.1147,15,-1,-511.06
30,36.8902,81,20,8806
26,53.682,48,11,3632.53
3,14.147,21,17,2339.03
26,34.7185,75,20,4167.2
6,8.1381,74,7,1898.82
6,36.1239,17,8,2893.44
24,16.6693,144,3,648.66
17,44.8117,38,22,7178.38
102,8.9534,1139,0,0
103,26.5527,388,1,338.09
256,60.2502,425,78,29743.74
350,89.9148,389,75,28599.75
22,50.8745,43,11,2421.65
8,21.6303,37,5,1434.9
1,4.791,21,-6,-1792.68
8,23.6399,34,5,1651.15
8,20.5993,39,15,6486.6
9,8.6404,104,23,3707.14
17,20.8958,81,16,2201.44
41,57.8627,71,10,2044.3
1,24.694,4,0,0
2,24.4139,8,1,141.53
3,23.2103,13,4,1100.76
-2,35.8423,-6,-5,-1965.65
1,53.4429,2,4,1100.76
8,69.4917,12,8,2516
0,7.5817,0,0,0
0,13.6631,0,10,4403
0,10.7364,0,0,0
0,3.1438,0,0,0
10,12.8411,78,0,0
0,3.2552,0,0,0
0,14.4496,0,0,0
0,1.316,0,0,0
37,44.8117,83,35,11420.15
0,0.3893,0,0,0
0,2.0425,0,0,0
0,5.3556,0,0,0
0,17.983,0,0,0
-2,7.8269,-26,5,1100.75
81,61.286,132,63,18079.74
-3,6.1325,-49,3,896.34
8,12.043,66,6,1981.38
5,8.2397,61,8,3459.52
-6,7.2003,-83,-6,-967.08
5,9.0548,55,6,825.54
0,19.2876,0,0,0
0,3.0867,0,0,0
0,8.789,0,0,0
0,1.7408,0,0,0
0,2.7153,0,0,0
-1,2.6283,-38,0,0
-1,15.6356,-6,0,0
10,14.321,70,-1,-511.06
10,15.0294,67,4,1761.2
13.33,37.5774,35,6,1981.38
39,36.9395,106,24,3302.16
52.3,47.5596,110,48.29,10061.71
25,11.3933,219,5,1356.3
35,65.0231,54,34.66,12535.83
3,2.632,114,-8,-1729.76
10,27.7406,36,16,5220.64
1,0.3893,257,0,0
2.66,3.0638,87,-3,-1014.27
4.66,5.3556,87,2,762.66
12.66,29.9716,42,-0.34,-129.65
11,11.7403,94,5,1100.75
22.98,9.0126,255,2,573.96
-1,0.9582,-104,-11.33,-3385.18
9,1.7841,504,-5,-1651.15
18,4.1199,437,1,432.44
21.98,24.4811,90,9.66,1557
48.66,41.7915,116,14.98,2061.1
5,27.5536,18,6,1226.58
17,8.2313,207,5,1375.95
3,16.6015,18,0,0
8,2.9013,276,-3,-825.57
4,3.2584,123,-2,-786.26
4,3.5045,114,-1,-275.19
27,20.8475,130,5,1572.5
45,41.991,107,11,5621.66
44,23.3638,188,2,880.6
151,95.8607,158,40,13209.2
22,9.2464,238,10,1375.9
102,86.6265,118,53,11043.08
123,33.758,364,35,9494.1
230,137.2709,168,67,24232.56
36,10.9897,328,12,2594.64
149,50.8577,293,29,9462.41
0,0.0962,0,0,0
200,30.6378,653,0,0
165,156.8738,105,54,20591.82
257,276.9439,93,48,18303.84
0,13.0904,0,-4,-880.6
0,6.3619,0,1,286.98
-1,0.9126,-110,0,0
4,6.5096,61,19,6274.37
17,69.6287,24,34,14702.96
10,11.501,87,16,2578.88
13,26.7279,49,25,3439.75
17,53.4851,32,3,613.29
2,6.984,29,0,0
5,14.9686,33,0,0
10,28.3962,35,-1,-275.19
0,15.9495,0,0,0
17,6.579,258,0,0
8,17.403,46,0,0
23,26.2443,88,25,12776.5
55,36.8902,149,33,14529.9
93,100.6538,92,57,18823.11
-12,7.3971,-162,-12,-1651.08
47,72.1887,65,79,16460.44
21,15.4322,136,16,4340.16
361,325.1154,111,388,140331.84
4,12.9291,31,3,648.66
101,117.364,86,137,44701.73
0,0.0666,0,0,0
0,26.808,0,0,0
122,90.8217,134,63,24023.79
120,135.0946,89,81,30887.73
26,19.6356,132,16,3522.4
3,22.2665,13,6,1721.88
-5,0.9126,-548,4,1195.12
-3,9.2994,-32,-2,-660.46
616,278.5149,221,442,191138.48
39,32.3466,121,39,6286.02
22,8.9093,247,-3,-412.77
31,53.4851,58,45,9199.35
-2,6.984,-29,4,1100.76
0,14.9686,0,2,283.06
15,25.8147,58,8,2201.52
9,10.2077,88,8,3145.04
0,6.579,0,0,0
1,17.403,6,7,2201.5
78.5,61.2368,128,68.5,35007.61
13.5,25.8232,52,12,5283.6
113,162.9633,69,95.5,31536.99
3,9.2464,32,16,2201.44
53,43.3132,122,33.5,6980.06
-4.5,13.5032,-33,3.5,949.41
50,93.9222,53,55.5,20073.24
-6.5,18.1007,-36,7,1513.54
56.5,78.2427,72,31.5,10278.15
0,0.9906,0,0,0
9.5,31.9143,30,1,338.09
47,70.1804,67,33,12583.89
46,108.0757,43,22.5,8579.92
-6,13.0904,-46,-2,-440.3
0,6.3619,0,1,286.98
-8,0.9126,-877,0.5,149.39
12,18.5989,65,17,5613.91
26,69.6287,37,65.5,28324.82
11.5,10.0634,114,-5.5,-886.49
0.5,8.9093,6,6.5,894.33
4,53.4851,7,5,1022.15
2,6.984,29,0,0
0,34.9268,0,2,283.06
0.5,23.2333,2,1,275.19
35,15.3115,229,21,8255.74
-5.5,4.386,-125,0,0
4.5,17.403,26,-2,-629
11,27.994,39,20,10221.2
6,24.5935,24,7,3082.1
30,71.8956,42,41,13539.43
17,7.3971,230,17,2339.03
47,57.751,81,40,8334.4
16,19.2903,83,8,2170.08
51,86.6974,59,60,21700.8
2,9.6968,21,3,648.66
27,86.0669,31,26,8483.54
0,0.0574,0,0,0
0,19.1486,0,0,0
46,61.9239,74,110,41946.3
47,67.5473,70,110,41946.3
8,13.0904,61,-2,-440.3
21,22.2665,94,44,12627.12
0,0.9126,0,0,0
7,6.9746,100,14,4623.22
0,23.2096,0,5,2162.2
2,8.6258,23,11,1772.98
-2,8.9093,-22,9,1238.31
2,53.4851,4,-1,-204.43
21,6.984,301,22,6054.18
40,17.9623,223,57,8067.21
-3,38.7221,-8,6,1651.14
0,15.9495,0,0,0
-1,2.193,-46,0,0
0,17.403,0,0,0
35.5,17.4962,203,20.5,10476.73
7.5,12.2967,61,7,3082.1
61,47.9304,127,72.5,23941.7
3,3.6986,81,22,3026.98
13,28.8755,45,17.5,3646.3
7.5,14.4677,52,12.5,3390.75
65,79.4726,82,80.5,29115.24
2.5,12.9291,19,6,1297.32
71.5,58.682,122,64.5,21045.72
0,0.0869,0,0,0
11.5,19.1486,60,0,0
7,33.0261,21,5,1906.65
19,87.8115,22,1.5,571.99
69,71.9972,96,33,7264.95
-2,6.3619,-31,-2,-573.96
-5,0.9126,-548,-0.5,-149.39
