SaleUnits,TargetUnits,AchSale ,LMSU,LMSV
19,55.1801,34,18,7430.04
1161.5,1511.589,77,977,367996.82
3,2.8079,107,0,0
3,9.8009,31,6,2972.04
9,22.4292,40,9,3078.18
16,93.1165,17,15,6191.7
1225,1099.3375,111,624,235035.84
5,2.5527,196,-2,-1383.8
5,8.1674,61,1,495.34
15.6663,33.6438,47,15.3332,5244.26
10.9994,32.7632,34,25.9996,10732.12
1080.6437,1465.7833,74,901.3131,339488.59
-0.3331,4.5948,-7,1.6668,1153.26
31.9999,49.0046,65,54.3331,26913.36
47,62.6903,75,62,21205.24
27,64.5252,42,46,18987.88
2678,2426.6215,110,2971,1119056.86
1,3.8065,26,-1,-691.9
30,17.8885,168,9,4458.06
63,56.4213,112,55,18811.1
258,135.5028,190,260,107322.8
2636,2460.0922,107,1993,750683.38
1,5.2705,19,8,5535.2
6,23.9578,25,9,4458.06
1,25.0761,4,2,684.04
23,51.6201,45,3,1238.34
1660,1405.767,118,1022,384946.52
0,3.5137,0,1,691.9
7,11.1803,63,14,6934.76
55,51.7195,106,42,14364.84
210,148.4079,142,161,66457.58
3407,3062.5637,111,3174,1195518.84
7,4.1578,168,3,2075.7
125,59.5751,210,5,2476.7
31,67.3921,46,17,5814.34
47,103.2403,46,22,9081.16
3219,2845.0045,113,3138,1181959.08
-1,4.0993,-24,0,0
16,15.6524,102,11,5448.74
20,23.5089,85,1,342.02
9,64.5252,14,10,4127.8
2366,2192.327,108,2269,854641.54
0,4.9191,0,0,0
1,17.0899,6,7,3467.38
0,26.6434,0,8,2736.16
26,77.4302,34,41,16923.98
1177,2342.9449,50,1349,508114.34
0,3.5137,0,3,2075.7
22,14.3747,153,14,6934.76
8,52.8605,15,30,10260.6
15,59.6746,25,22,9081.16
3730,3376.6395,110,3724,1402681.84
2,12.9615,15,5,3459.5
37,49.0917,75,57,28234.38
3,22.8026,13,17,5814.34
34,152.5019,22,87,35911.86
3502,3164.2019,111,914,344267.24
0,5.2594,0,0,0
8,26.6803,30,14,6934.76
36,81.1909,44,30,10260.6
28,76.2509,37,48,19813.44
2882,2627.5175,110,2320,873851.2
0,3.4647,0,0,0
0,12.9133,0,1,495.34
8,15.8927,50,2,684.04
28,43.0984,65,13,5366.14
2200,2012.5666,109,1008,379673.28
0,3.2404,0,0,0
8,18.0359,44,13,6439.42
33,77.527,43,46,15732.92
14,43.5834,32,12,4953.36
2949,2690.3471,110,3238,1219625.08
7,3.9281,178,11,7610.9
32,36.1327,89,33,16346.22
24,36.1793,66,24,8208.48
46.3,49.8846,93,25.5,10525.89
3893.42,3871.9185,101,3309.14,1246420.67
5.4,2.4551,220,2.5,1729.75
29.2,18.2951,160,25.4,12581.64
27,58.3299,46,34,11628.68
89.3,232.6199,38,159.5,65838.41
2909.42,2744.8812,106,3016.54,1136209.95
1.4,2.4551,57,1.5,1037.85
13.2,13.7213,96,14.4,7132.9
13,23.6273,55,5,1710.1
20,35.7069,56,12,4953.36
1158.4,1017.9692,114,418.3,157556.88
0,3.4371,0,0,0
1,9.1475,11,0,0
8.5,31.7492,27,15,5130.3
23.3,39.9077,58,17.5,7223.65
2051.42,1890.5142,109,2792.14,1051687.45
5.4,2.9461,183,0.5,345.95
11.2,18.2951,61,5.4,2674.84
69.5,81.9571,85,47,16074.94
50.3,65.1126,77,33.5,13828.13
2638.42,2581.279,102,1903.54,716987.37
0.4,30.4428,1,25.5,17643.45
29.2,42.6885,68,32.4,16049.02
63,59.8066,105,53,18127.06
44.3,58.2862,76,42.5,17543.15
3460.42,3381.1119,102,2526.34,951571.22
1.4,3.4371,41,0.5,345.95
17.2,14.1787,121,10.4,5151.54
50.55,43.8832,115,12.6,4309.46
62.55,46.1466,136,13.7,5655.09
3639.4,3291.5202,111,1501.3,565479.66
0.4,3.1983,13,2.5,1729.75
45.3,56.0613,81,49.55,24544.1
20.99999988,34.4797,61,19.19999993,6566.78
12.44999995,28.3688,44,16.14999992,6666.4
2013.149997,1873.6346,107,1001.149997,377093.16
0.899999988,2.5587,35,0.25,172.98
25.09999982,18.6871,134,20.49999986,10154.47
28.45,40.7487,70,13.4,4583.07
75.05,90.7802,83,65.3,26954.54
1313.8,2059.3101,64,1327,499827.82
1.4,2.9851,47,-0.5,-345.95
10.1,21.562,47,14.05,6959.53
97.55,90.9009,107,61.6,21068.44
22.55,47.2814,48,20.7,8544.55
3397.2,3156.4835,108,2023.6,762209.18
7.4,4.0512,183,-0.5,-345.95
25.3,18.6871,135,14.75,7306.27
3,25.0761,12,2,684.04
55,90.7802,61,57,23528.46
2753,2565.6978,107,2782,1047868.12
0,3.1983,0,5,3459.5
1,7.1873,14,1,495.34
23.45000012,47.0177,50,23.20000007,7934.87
6.600000048,28.3688,23,8.150000083,3364.16
1132.650003,1029.655,110,808.3500035,304473.12
0.500000012,2.1322,23,0.25,172.98
6.000000179,7.1873,83,7.550000143,3739.81
20,31.3452,64,14,4788.28
64.3,46.5249,138,22.5,9287.55
3216.3,2903.2896,111,2591.6,976152.06
0.4,3.1983,13,0.5,345.95
6.2,14.3747,43,7.6,3764.59
24,29.3098,82,9,3078.18
41,54.4001,75,51,21051.78
3973,3366.1285,118,4752,1789888.32
3,1.4416,208,1,691.9
3,20.6757,15,10,4953.4
11,35.823,31,9,3078.18
96.5,71.4002,135,53,21877.34
4465.5,4057.387,110,3900.5,1469162.33
-0.5,0.7551,-66,0,0
1.5,6.7196,22,-1,-495.34
33,65.1328,51,47,16074.94
115,112.2003,102,94,38801.32
1973,1547.818,127,2236,842211.76
4,2.5811,155,4,2767.6
4,14.473,28,8,3962.72
4,24.4248,16,3,1026.06
38,47.6001,80,9,3715.02
1151,2524.5964,46,928,349540.48
8,8.1965,98,1,691.9
0,5.1689,0,0,0
12,8.1416,147,2,684.04
35.5,54.4001,65,27,11145.06
3922.5,3531.4294,111,2622.5,987790.85
-0.5,0.7551,-66,0,0
5.5,4.652,118,2,990.68
23,36.2893,63,24.5,8379.49
163,152.5004,107,104.5,43135.51
3191.5,2876.0368,111,3247.5,1223203.35
6,3.0753,195,3,2075.7
19.5,19.6954,99,19,9411.46
107,85.0019,126,72,24625.44
90,82.7502,109,43,17749.54
2978,2714.9787,110,1513,569886.58
0,1.4351,0,0,0
9,8.2928,109,6,2972.04
57,62.4437,91,50.5,17272.01
44,77.5002,57,46.5,19194.27
2273.5,2208.7962,103,2340.5,881572.73
-1,0.8201,-122,0,0
7,6.2196,113,3,1486.02
28,32.0392,87,17.5,5985.35
22,47.5001,46,23.5,9700.33
1694.5,1386.2497,122,2051.5,772717.99
0,1.8452,0,0,0
7,5.183,135,15,7430.1
164,111.1563,148,32.5,11115.65
136,139.7503,97,81.5,33641.57
2574.5,2318.0856,111,2552.5,961424.65
6,3.0753,195,3,2075.7
16.5,12.4392,133,12,5944.08
110,86.6266,127,17,5814.34
75,66.3602,113,15,6191.7
2438,2074.2912,118,1159,436548.94
14,9.3983,149,2,1383.8
